"from","to","weight"
"roach","toad",0.0909090909090909
"robin","robin",1
"rooster","rooster",1
"rooster","starfish",0.0666666666666667
"salamander","salamander",1
"sea","sea",1
"seagull","seagull",1
"seahorse","seahorse",1
"seahorse","stingray",0.111111111111111
"seal","seal",1
"seal","shark",0.0714285714285714
"seal","shrimp",0.0833333333333333
"seal","whale",0.0757575757575758
"shark","shark",1
"shark","turtle",0.172413793103448
"shark","whale",0.295454545454545
"sheep","sheep",1
"shrimp","shrimp",1
"shrimp","whale",0.0655737704918033
"skunk","skunk",1
"skunk","wolf",0.105263157894737
"sloth","sloth",1
"snail","snail",1
"snail","snake",0.102564102564103
"snake","snake",1
"spider","spider",1
"squid","squid",1
"squid","squirrel",0.0612244897959184
"squid","turkey",0.166666666666667
"squirrel","squirrel",1
"starfish","starfish",1
"starfish","wale",0.125
"stingray","stingray",1
"stingray","unicorn",0.125
"stingray","walrus",0.0769230769230769
"swan","swan",1
"tarantula","tarantula",1
"tiger","tiger",1
"tiger","zebra",0.301775147928994
"toad","toad",1
"toucan","toucan",1
"turkey","turkey",1
"turtle","turtle",1
"unicorn","unicorn",1
"unicorn","walrus",0.0833333333333333
"vulture","vulture",1
"wale","wale",1
"walrus","walrus",1
"whale","whale",1
"wildebeest","wildebeest",1
"wolf","wolf",1
"worm","worm",1
"zebra","zebra",1
